Ref,Qty,Mfr,Mfr Part,Desc,Vendor,Vendor Part
J1,1,Hirose,FX2-100S-1.27DS(71),CONN RECEPT R/A 100POS 1.27MM,Digi-Key,H10644-ND
J2,1,CUI,PJ-102A,CONN JACK POWER 2.1MM PCB,Digi-Key,CP-102A-ND
U1,1,Motorola,MC6809EP,"Microprocessor, 8bit CISC, 1MHz",Jameco,43545
U1 (socket),1,Assmann,AR40-HZL-TT-R,IC SOCKET MACH PIN ST 40POS TIN,Digi-Key,AE10018-ND
"U2,3,4,5,6",5,Texas Instruments,SN74LVC4245APW,IC BUS TRANSCEIVER 8BIT 24TSSOP,Digi-Key,296-12183-1-ND
U7,1,Texas Instruments,SN74LVC1G14DCK,IC SGL SCHMT-TRIG INVERT SC70-5,Digi-Key,296-11608-1-ND
U8,1,Microchip,TC1262-5.0VDB,IC CMOS LDO 500MA 5.0V SOT223-3,Digi-Key,TC1262-5.0VDB-ND
R1,1,Yageo,RC0603FR-07220RL,RES 220 OHM 1/10W 1% 0603 SMD,Digi-Key,311-220HRCT-ND
"R2,3,4,5,6,7,8",7,Yageo,RC0603FR-0710KL,RES 10.0K OHM 1/10W 1% 0603 SMD,Digi-Key,311-10.0KHRCT-ND
"C1,2,3,4,5,6,7,8,9,10,11",11,Murata,GRM188R71C104KA01D,CAP CER 0.1UF 16V 10% X7R 0603,Digi-Key,490-1532-1-ND
C12,1,Kemet,T491D476M010AT,CAP TANT 47UF 10V 20% 2917,Digi-Key,399-3796-1-ND
"C13,14,15",2,Kemet,C0805C475K8PACTU,CAP CER 4.7UF 10V 10% X5R 0805,Digi-Key,399-3133-1-ND
PCB,1,Laen,,Two-layer service,,
